I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n,pattern
100,0,3,7.04444,8.78889,7.04444,0,7.04444,8.06942,7.04444,0,L
100,0,5,7.04444,8.73333,7.04444,0,7.04444,8.06942,7.04444,0,L
100,0,7,7.04444,8.03333,7.04444,0,7.04444,8.06942,7.04444,0,L
100,0.02,3,7.10578,4.56667,7.06667,0.03911,7.62402,8.06942,7.04444,0.57957,L
100,0.02,5,7.21844,4.16667,7.11111,0.10733,8.0344,8.06942,7.04444,0.98995,L
100,0.02,7,7.26867,4.24444,7.07778,0.19089,8.22472,8.06942,7.04444,1.18028,L
100,0.04,3,7.20933,4.55556,7.13333,0.076,7.97078,8.06942,7.04444,0.92634,L
100,0.04,5,7.32711,4.08889,7.1,0.22711,8.76167,8.06942,7.04444,1.71723,L
100,0.04,7,7.50978,4.18889,7.21111,0.29867,9.01131,8.06942,7.04444,1.96687,L
100,0.06,3,7.24,4.53333,7.13333,0.10667,8.34354,8.06942,7.04444,1.2991,L
100,0.06,5,7.44933,4.04444,7.14444,0.30489,9.40485,8.06942,7.04444,2.36041,L
100,0.06,7,7.66667,3.77778,7.27778,0.38889,10.16237,8.06942,7.04444,3.11792,L
100,0.08,3,7.29778,4.42222,7.18889,0.10889,9.40567,8.06942,7.04444,2.36122,L
100,0.08,5,7.56,3.87778,7.21111,0.34889,11.18149,8.06942,7.04444,4.13705,L
100,0.08,7,7.77202,3.71111,7.34444,0.42758,11.78421,8.06942,7.04444,4.73977,L
100,0.1,3,7.31444,4.45556,7.18889,0.12556,8.93006,8.06942,7.04444,1.88561,L
100,0.1,5,7.64111,3.71111,7.28889,0.35222,10.88279,8.06942,7.04444,3.83835,L
100,0.1,7,7.87111,3.37778,7.45556,0.41556,11.49705,8.06942,7.04444,4.45261,L
100,0,3,8.96,7.0896,8.960,0.000,8.960,7.326,8.960,0.000,M
100,0,5,8.96,7.601,8.960,0.000,8.960,7.326,8.960,0.000,M
100,0,7,8.96,7.119,8.960,0.000,8.960,7.326,8.960,0.000,M
100,0.02,3,9.0024,4.16634,8.96,0.0424,9.562,7.326,8.960,0.602,M
100,0.02,5,9.0634,3.64277,8.9298,0.1336,9.928,7.326,8.960,0.968,M
100,0.02,7,9.1254,3.5999,8.9617,0.16372,10.005,7.326,8.960,1.045,M
100,0.04,3,9.0436,4.3098,9.0023,0.04132,10.165,7.326,8.960,1.205,M
100,0.04,5,9.1688,3.6399,9.0014,0.16741,10.897,7.326,8.960,1.937,M
100,0.04,7,9.2904,3.54515,9.051,0.23941,11.050,7.326,8.960,2.090,M
100,0.06,3,9.083,4.13861,9.0195,0.0635,10.767,7.326,8.960,1.807,M
100,0.06,5,9.2726,3.53257,9.07,0.2026,11.865,7.326,8.960,2.905,M
100,0.06,7,9.4324,3.41921,9.1397,0.2927,12.095,7.326,8.960,3.135,M
100,0.08,3,9.12,4.20663,9.0304,0.0896,11.369,7.326,8.960,2.409,M
100,0.08,5,9.3556,3.39871,9.1207,0.23491,12.834,7.326,8.960,3.874,M
100,0.08,7,9.5404,3.2497,9.2016,0.33882,13.140,7.326,8.960,4.180,M
100,0.1,3,9.157,4.11891,9.049,0.10799,11.971,7.326,8.960,3.011,M
100,0.1,5,9.423,3.23119,9.2002,0.2228,13.802,7.326,8.960,4.842,M
100,0.1,7,9.631,2.91792,9.3126,0.31843,14.185,7.326,8.960,5.225,M
100,0,3,10.73636,5.69091,10.73636,0,10.72727,6.76751,10.72727,0,H
100,0,5,10.73636,6.8,10.73636,0,10.72727,6.76751,10.72727,0,H
100,0,7,10.73636,6.2,10.73636,0,10.72727,6.76751,10.72727,0,H
100,0.02,3,10.74473,3.66364,10.71818,0.02655,11.10915,6.76751,10.71818,0.39097,H
100,0.02,5,10.86455,2.91818,10.78182,0.08273,11.4236,6.76751,10.71818,0.70541,H
100,0.02,7,10.86073,2.99091,10.77273,0.088,11.59865,6.76751,10.71818,0.88047,H
100,0.04,3,10.79345,3.42727,10.74545,0.048,11.26077,6.76751,10.71818,0.54259,H
100,0.04,5,10.89709,2.9,10.75455,0.14255,11.77092,6.76751,10.71818,1.05274,H
100,0.04,7,11.00073,2.99091,10.80909,0.19164,12.03594,6.76751,10.71818,1.31776,H
100,0.06,3,10.83855,3.57273,10.78182,0.05673,11.55211,6.76751,10.71818,0.83392,H
100,0.06,5,10.95055,2.9,10.75455,0.196,12.38107,6.76751,10.71818,1.66289,H
100,0.06,7,11.01782,2.96364,10.77273,0.24509,12.88306,6.76751,10.71818,2.16488,H
100,0.08,3,10.84327,3.56364,10.76364,0.07964,11.81599,6.76751,10.71818,1.09781,H
100,0.08,5,11.00073,2.78182,10.79091,0.20982,12.8888,6.76751,10.71818,2.17062,H
100,0.08,7,11.12436,2.73636,10.83636,0.288,13.4195,6.76751,10.71818,2.70131,H
100,0.1,3,10.85364,3.47273,10.8,0.05364,12.04144,6.76751,10.71818,1.32326,H
100,0.1,5,11.03636,2.66364,10.87273,0.16364,13.09347,6.76751,10.71818,2.37528,H
100,0.1,7,11.17545,2.58182,10.91818,0.25727,13.76942,6.76751,10.71818,3.05124,H
