I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
50,Medium,0,3,348.0,347.0,34,348.0,6.96,342.0,6.84,0,0,0.28476,-0.48413,-0.19357,,,,,,,,,,,348.0
50,Medium,0,4,349.0,347.0,32,349.0,6.98,343.0,6.86,0,0,0.29752,-0.4259,-0.16445,,,,,,,,,,,349.0
50,Medium,0,5,347.0,347.0,50,347.0,6.94,347.0,6.94,0,0,0.13203,-0.45489,-0.17708,,,,,,,,,,,347.0
50,Medium,0,6,350.0,347.0,34,346.0,6.92,355.0,7.1,0,0,0.22294,-0.45489,-0.18195,,,,,,,,,,,350.0
50,Medium,0,7,347.0,347.0,43,347.0,6.94,304.0,6.08,0,0,0.08897,-0.37857,-0.17843,,,,,,,,,,,347.0
50,Medium,0.02,3,350.34,348.428,128,350.34,7.0068,183.0,3.66,5.34,0.1068,0.15476,-0.29221,-0.12994,,,,,,,,,,,350.34
50,Medium,0.02,4,352.98,349.72303,159,352.98,7.0596,164.0,3.28,2.98,0.0596,0.15476,-0.23292,-0.11247,,,,,,,,,,,352.98
50,Medium,0.02,5,351.96,351.54331,173,351.96,7.0392,156.0,3.12,4.96,0.0992,0.15476,-0.24675,-0.09536,,,,,,,,,,,351.96
50,Medium,0.02,6,353.14,352.54663,155,353.14,7.0628,149.0,2.98,6.14,0.1228,0.24476,-0.30952,-0.08776,,,,,,,,,,,353.14
50,Medium,0.02,7,355.28,354.39199,152,355.28,7.1056,150.0,3.0,8.28,0.1656,0.24476,-0.17857,-0.07584,,,,,,,,,,,355.28
50,Medium,0.04,3,351.96,349.83116,115,351.96,7.0392,181.0,3.62,2.96,0.0592,0.1131,-0.23292,-0.11948,,,,,,,,,,,351.96
50,Medium,0.04,4,355.32,352.43166,141,355.32,7.1064,158.0,3.16,5.32,0.1064,0.28476,-0.23292,-0.07272,,,,,,,,,,,355.32
50,Medium,0.04,5,358.28,356.00023,142,358.28,7.1656,162.0,3.24,8.28,0.1656,0.24476,-0.23292,-0.09464,,,,,,,,,,,358.28
50,Medium,0.04,6,361.2,357.87944,126,361.2,7.224,150.0,3.0,10.2,0.204,0.1131,-0.18944,-0.09239,,,,,,,,,,,361.2
50,Medium,0.04,7,365.08,361.38975,128,365.08,7.3016,143.0,2.86,13.08,0.2616,0.24476,-0.18944,-0.07431,,,,,,,,,,,365.08
50,Medium,0.06,3,354.62,351.20819,123,354.62,7.0924,181.0,3.62,4.62,0.0924,0.24476,-0.24675,-0.10922,,,,,,,,,,,354.62
50,Medium,0.06,4,358.72,354.9327,130,358.72,7.1744,164.0,3.28,6.72,0.1344,0.28476,-0.23292,-0.09324,,,,,,,,,,,358.72
50,Medium,0.06,5,362.44,360.13967,118,362.44,7.2488,154.0,3.08,12.44,0.2488,0.24476,-0.18944,-0.09681,,,,,,,,,,,362.44
50,Medium,0.06,6,365.56,362.71184,116,365.56,7.3112,138.0,2.76,10.56,0.2112,0.15476,-0.23292,-0.09059,,,,,,,,,,,365.56
50,Medium,0.06,7,371.12,367.21052,129,371.12,7.4224,136.0,2.72,16.12,0.3224,0.24476,-0.18944,-0.05351,,,,,,,,,,,371.12
50,Medium,0.08,3,356.2,352.55773,136,356.2,7.124,187.0,3.74,5.2,0.104,0.15476,-0.24675,-0.13038,,,,,,,,,,,356.2
50,Medium,0.08,4,358.68,356.99128,145,358.68,7.1736,157.0,3.14,5.68,0.1136,0.15476,-0.23292,-0.1081,,,,,,,,,,,358.68
50,Medium,0.08,5,367.52,363.51947,138,367.52,7.3504,135.0,2.7,9.52,0.1904,0.1131,-0.17857,-0.08607,,,,,,,,,,,367.52
50,Medium,0.08,6,367.1038,366.16999,105,367.1038,7.34208,127.0,2.54,11.1038,0.22208,0.1131,-0.17857,-0.07821,,,,,,,,,,,367.104
50,Medium,0.08,7,375.52,371.39137,127,375.52,7.5104,127.0,2.54,11.52,0.2304,0.24476,-0.17857,-0.0579,,,,,,,,,,,375.52
50,Medium,0.1,3,356.23522,353.84106,149,356.23522,7.1247,182.0,3.64,6.23522,0.1247,0.1131,-0.24675,-0.12712,,,,,,,,,,,356.235
50,Medium,0.1,4,360.16056,358.36347,138,360.16056,7.20321,151.0,3.02,7.16056,0.14321,0.40476,-0.23292,-0.09121,,,,,,,,,,,360.161
50,Medium,0.1,5,368.1,365.77167,129,368.1,7.362,132.0,2.64,9.1,0.182,0.24476,-0.18944,,,,,,,,,,,,368.1
50,Medium,0.1,6,371.4,368.32199,100,371.4,7.428,121.0,2.42,7.4,0.148,-0.00265,-0.17857,-0.0757,,,,,,,,,,,371.4
50,Medium,0.1,7,377.8,373.84019,129,377.8,7.556,124.0,2.48,10.8,0.216,0.15476,-0.1369,-0.06746,,,,,,,,,,,377.8
