I,T,K,prob,pattern,time,gap,lb,ub,obj
3,13,3,low,Fifty_early,0.6,0.0,11.3,11.3,11.3
3,13,3,low,Fifty_Noon,0.7,0.0,11.0,11.0,11.0
3,13,3,low,Fifty_Evening,2.2,0.0,13.55,13.55,13.55
3,13,3,low,Thirty,0.9,0.0,10.0,10.0,10.0
3,13,3,medium,Fifty_early,1.4,0.0,13.1,13.1,13.1
3,13,3,medium,Fifty_Noon,3.1,0.0,12.4,12.4,12.4
3,13,3,medium,Fifty_Evening,1.6,0.0,13.25,13.25,13.25
3,13,3,medium,Thirty,1.2,0.0,10.15,10.15,10.15
3,13,3,high,Fifty_early,19.2,0.0,14.85,14.85,14.85
3,13,3,high,Fifty_Noon,2.7,0.0,12.05,12.05,12.05
3,13,3,high,Fifty_Evening,1.2,0.0,12.2,12.2,12.2
3,13,3,high,Thirty,2.3,0.0,11.25,11.25,11.25
4,13,3,low,Fifty_early,6.5,0.0,16.45,16.45,16.45
4,13,3,low,Fifty_Noon,6.4,0.0,15.6,15.6,15.6
4,13,3,low,Fifty_Evening,50.4,0.0,15.2,15.2,15.2
4,13,3,low,Thirty,3.0,0.0,14.05,14.05,14.05
4,13,3,medium,Fifty_early,11.7,0.0,15.05,15.05,15.05
4,13,3,medium,Fifty_Noon,1.9,0.0,14.0,14.0,14.0
4,13,3,medium,Fifty_Evening,49.9,0.0,17.2,17.2,17.2
4,13,3,medium,Thirty,14.0,0.0,14.55,14.55,14.55
4,13,3,high,Fifty_early,3.8,0.0,15.1,15.1,15.1
4,13,3,high,Fifty_Noon,33.9,0.0,18.45,18.45,18.45
4,13,3,high,Fifty_Evening,3.0,0.0,15.95,15.95,15.95
4,13,3,high,Thirty,4.6,0.0,13.15,13.15,13.15
